"dist_km","media_tempo_entrega_min","pedidos"
"269.0","25.7","243"
"271.0","25.5","236"
"272.0","24.2","262"
"273.0","24.3","231"
"274.0","25.7","240"
"275.0","25.7","232"
"276.0","26.3","259"
"277.0","27.2","206"
"278.0","24.2","237"
"279.0","26.3","233"
"281.0","24.4","241"
"282.0","24.6","227"
"283.0","25.8","263"
"284.0","25.1","229"
"285.0","25.3","233"
"286.0","25.5","220"
"287.0","24.1","206"
"288.0","26.7","266"
"289.0","24.3","209"
"291.0","25.4","220"
"292.0","26.1","282"
"293.0","24.5","237"
"294.0","25.5","200"
"295.0","25.8","195"
"296.0","25.7","214"
"297.0","26.4","221"
"298.0","25.6","245"
"299.0","24.7","224"
"301.0","24.4","219"
"302.0","23.9","191"
"303.0","24.7","234"
"304.0","24.1","196"
"305.0","25.5","208"
"306.0","24.0","225"
"307.0","25.1","249"
"308.0","25.5","225"
"309.0","26.5","270"
"311.0","24.6","218"
"312.0","24.9","201"
"313.0","25.5","223"
"314.0","25.2","223"
"315.0","24.7","219"
"316.0","24.6","209"
"317.0","25.4","203"
"318.0","24.9","235"
"319.0","25.4","231"
"321.0","23.7","233"
"322.0","26.8","228"
"323.0","25.1","238"
"324.0","25.2","215"
"325.0","24.6","201"
"326.0","25.9","235"
"327.0","24.6","188"
"328.0","23.7","253"
"329.0","25.5","239"
"331.0","25.4","210"
"332.0","26.3","246"
"333.0","25.1","201"
"334.0","27.9","216"
"335.0","26.0","223"
"336.0","25.1","198"
"337.0","26.0","206"
"338.0","25.5","223"
"339.0","25.7","193"
"341.0","26.2","195"
"342.0","28.5","245"
"343.0","25.2","213"
"344.0","24.4","237"
"345.0","25.2","215"
"346.0","26.9","210"
"347.0","25.3","214"
"348.0","25.6","250"
"349.0","25.2","229"
"351.0","26.4","194"
"352.0","25.7","191"
"353.0","26.9","198"
"354.0","25.9","207"
"355.0","26.0","229"
"356.0","26.4","224"
"357.0","26.3","208"
"358.0","25.0","184"
"359.0","26.1","181"
"361.0","26.0","217"
"362.0","25.9","188"
"363.0","25.3","200"
"364.0","25.9","172"
"365.0","26.9","193"
"366.0","27.4","214"
"367.0","26.9","203"
"368.0","25.9","202"
"369.0","24.7","146"
"371.0","25.9","194"
"372.0","28.5","177"
"373.0","27.7","189"
"374.0","26.0","161"
"375.0","28.6","212"
"376.0","25.6","172"
"377.0","26.8","224"
"378.0","27.6","178"
"379.0","25.8","172"
"381.0","27.1","168"
"382.0","28.1","181"
"383.0","25.5","156"
"384.0","25.3","167"
"385.0","26.7","178"
"386.0","26.4","157"
"387.0","26.1","189"
"388.0","26.5","183"
"389.0","27.1","201"
"391.0","25.0","172"
"392.0","25.6","153"
"393.0","26.5","208"
"394.0","26.3","206"
"395.0","25.6","174"
"396.0","25.6","174"
"397.0","26.1","217"
"398.0","26.4","185"
"399.0","27.8","149"
"401.0","27.9","175"
"402.0","27.0","199"
"403.0","27.5","193"
"404.0","25.7","169"
"405.0","24.6","183"
"406.0","24.9","156"
"407.0","26.9","168"
"408.0","24.8","183"
"409.0","25.6","197"
"411.0","27.1","160"
"412.0","25.7","146"
"413.0","26.1","167"
"414.0","27.5","201"
"415.0","26.4","155"
"416.0","26.7","183"
"417.0","26.9","172"
"418.0","27.5","166"
"419.0","26.4","155"
"421.0","26.5","184"
"422.0","26.4","162"
"423.0","27.9","150"
"424.0","27.2","161"
"425.0","26.8","168"
"426.0","26.9","145"
"427.0","26.1","124"
"428.0","27.4","136"
"429.0","29.1","148"
"431.0","29.2","169"
"432.0","27.1","165"
"433.0","27.2","155"
"434.0","29.1","142"
"435.0","28.6","128"
"436.0","26.6","156"
"437.0","26.8","150"
"438.0","27.1","161"
"439.0","27.3","146"
"441.0","27.5","160"
"442.0","26.0","140"
"443.0","27.6","125"
"444.0","30.3","130"
"445.0","29.2","149"
"446.0","26.6","158"
"447.0","28.6","120"
"448.0","29.5","142"
"449.0","28.2","139"
"451.0","28.3","141"
"452.0","27.0","153"
"453.0","28.0","146"
"454.0","26.5","116"
"455.0","26.7","135"
"456.0","26.9","135"
"457.0","25.9","158"
"458.0","27.9","155"
"459.0","27.9","126"
"461.0","26.1","118"
"462.0","27.2","150"
"463.0","29.3","162"
"464.0","29.0","124"
"465.0","28.7","147"
"466.0","28.9","126"
"467.0","27.3","134"
"468.0","29.2","142"
"469.0","29.0","148"
"471.0","27.1","136"
"472.0","28.3","124"
"473.0","28.0","140"
"474.0","27.5","112"
"475.0","26.8","144"
"476.0","27.5","129"
"477.0","28.2","141"
"478.0","27.4","131"
"479.0","26.4","140"
"481.0","28.7","146"
"482.0","28.3","109"
"483.0","32.3","123"
"484.0","28.7","140"
"485.0","27.8","132"
"486.0","26.9","137"
"487.0","27.9","141"
"488.0","28.1","155"
"489.0","26.0","122"
"491.0","28.1","126"
"492.0","26.9","126"
"493.0","26.6","124"
"494.0","30.8","138"
"495.0","29.1","153"
"496.0","27.8","138"
"497.0","29.7","129"
"498.0","29.4","135"
"499.0","28.4","122"
"501.0","29.3","133"
"502.0","28.2","134"
"503.0","28.5","136"
"504.0","28.1","138"
"505.0","26.7","125"
"506.0","28.3","138"
"507.0","31.6","107"
"508.0","30.2","125"
"509.0","26.3","94"
"511.0","28.8","137"
"512.0","29.4","134"
"513.0","30.5","116"
"514.0","27.7","127"
"515.0","28.0","110"
"516.0","29.5","124"
"517.0","29.2","123"
"518.0","27.7","125"
"519.0","28.3","114"
"521.0","28.0","115"
"522.0","31.1","111"
"523.0","29.3","119"
"524.0","29.8","138"
"525.0","29.2","116"
"526.0","27.9","137"
"527.0","28.1","91"
"528.0","28.6","142"
"529.0","28.3","124"
"531.0","29.8","120"
"532.0","27.6","110"
"533.0","29.0","125"
"534.0","31.4","136"
"535.0","27.6","116"
"536.0","29.6","122"
"537.0","26.9","118"
"538.0","30.3","105"
"539.0","30.0","120"
"541.0","28.5","104"
"542.0","28.1","119"
"543.0","28.7","144"
"544.0","29.8","117"
"545.0","28.9","134"
"546.0","28.8","137"
"547.0","29.4","104"
"548.0","30.2","118"
"549.0","29.5","108"
"551.0","28.4","128"
"552.0","29.3","128"
"553.0","31.9","125"
"554.0","29.0","117"
"555.0","30.7","107"
"556.0","29.6","115"
"557.0","28.9","97"
"558.0","31.0","96"
"559.0","29.3","110"
"561.0","28.7","105"
"562.0","29.2","101"
"563.0","32.0","119"
"564.0","28.8","96"
"565.0","30.9","102"
"566.0","31.1","111"
"567.0","27.9","86"
"568.0","28.0","121"
"569.0","29.9","105"
"571.0","28.7","98"
"572.0","28.6","109"
"573.0","29.6","128"
"574.0","30.5","116"
"575.0","31.4","118"
"576.0","29.5","110"
"577.0","30.3","138"
"578.0","32.0","110"
"579.0","29.8","116"
"581.0","27.5","107"
"582.0","28.5","123"
"583.0","27.5","120"
"584.0","33.0","130"
"585.0","28.4","122"
"586.0","30.0","112"
"587.0","30.9","103"
"588.0","28.6","124"
"589.0","29.2","96"
"591.0","28.6","101"
"592.0","30.3","110"
"593.0","28.4","125"
"594.0","31.8","114"
"595.0","28.9","91"
"596.0","29.7","124"
"597.0","29.9","129"
"598.0","33.0","115"
"599.0","32.5","110"
"601.0","28.7","82"
"602.0","31.7","131"
"603.0","32.3","98"
"604.0","32.6","115"
"605.0","31.7","107"
"606.0","32.3","130"
"607.0","31.4","97"
"608.0","30.0","105"
"609.0","34.2","142"
"611.0","28.6","118"
"612.0","28.7","111"
"613.0","31.2","107"
"614.0","30.2","113"
"615.0","30.5","94"
"616.0","27.7","94"
"617.0","31.3","111"
"618.0","31.6","110"
"619.0","29.0","94"
"621.0","30.2","117"
"622.0","30.1","109"
"623.0","28.5","123"
"624.0","33.1","122"
"625.0","29.9","119"
"626.0","28.5","97"
"627.0","27.9","103"
"628.0","27.2","103"
"629.0","32.2","145"
"631.0","32.4","101"
"632.0","28.5","108"
"633.0","30.8","112"
"634.0","31.5","99"
"635.0","29.6","100"
"636.0","29.2","118"
"637.0","30.0","98"
"638.0","30.3","105"
"639.0","30.3","107"
"641.0","32.5","107"
"642.0","29.9","115"
"643.0","32.6","97"
"644.0","30.8","91"
"645.0","32.2","97"
"646.0","30.5","94"
"647.0","28.9","90"
"648.0","30.2","88"
"649.0","29.2","109"
"651.0","30.1","83"
"652.0","31.5","96"
"653.0","30.2","103"
"654.0","30.6","137"
"655.0","30.1","97"
"656.0","30.9","92"
"657.0","28.7","97"
"658.0","31.8","87"
"659.0","29.8","108"
"661.0","31.8","91"
"662.0","29.9","80"
"663.0","31.9","78"
"664.0","30.4","102"
"665.0","29.7","84"
"666.0","32.3","99"
"667.0","30.0","106"
"668.0","29.2","117"
"669.0","30.5","127"
"671.0","33.0","107"
"672.0","30.1","99"
"673.0","29.4","120"
"674.0","29.0","99"
"675.0","30.5","84"
"676.0","30.9","102"
"677.0","31.0","111"
"678.0","32.7","101"
"679.0","29.0","86"
"681.0","28.6","121"
"682.0","30.1","103"
"683.0","28.7","89"
"684.0","30.0","97"
"685.0","31.7","88"
"686.0","29.8","120"
"687.0","29.1","116"
"688.0","32.4","127"
"689.0","31.2","114"
"691.0","31.3","76"
"692.0","31.4","103"
"693.0","31.9","91"
"694.0","32.2","104"
"695.0","29.3","104"
"696.0","30.3","109"
"697.0","31.0","96"
"698.0","29.7","83"
"699.0","31.5","82"
"701.0","30.4","94"
"702.0","31.1","96"
"703.0","30.6","98"
"704.0","31.0","95"
"705.0","28.1","91"
"706.0","30.3","104"
"707.0","33.7","102"
"708.0","28.6","111"
"709.0","31.8","99"
"711.0","27.9","93"
"712.0","30.9","92"
"713.0","29.9","79"
"714.0","29.6","93"
"715.0","34.2","88"
"716.0","33.5","89"
"717.0","31.1","83"
"718.0","30.3","85"
"719.0","30.4","96"
"721.0","31.4","96"
"722.0","32.7","93"
"723.0","31.0","99"
"724.0","33.4","88"
"725.0","31.1","105"
"726.0","30.3","89"
"727.0","29.6","72"
"728.0","33.3","94"
"729.0","33.3","97"
"731.0","33.2","65"
"732.0","30.4","82"
"733.0","32.1","79"
"734.0","34.3","90"
"735.0","33.1","80"
"736.0","32.3","119"
"737.0","30.5","89"
"738.0","30.6","91"
"739.0","31.2","98"
"741.0","32.1","82"
"742.0","30.7","78"
"743.0","29.9","103"
"744.0","31.5","89"
"745.0","33.6","114"
"746.0","31.9","91"
"747.0","31.2","89"
"748.0","32.1","87"
"749.0","30.5","87"
"751.0","32.7","83"
"752.0","31.1","107"
"753.0","30.7","85"
"754.0","31.5","92"
"755.0","33.5","85"
"756.0","32.4","98"
"757.0","32.7","89"
"758.0","34.2","89"
"759.0","30.5","99"
"761.0","32.3","87"
"762.0","31.2","108"
"763.0","34.1","117"
"764.0","32.4","73"
"765.0","33.2","93"
"766.0","30.5","82"
"767.0","32.7","82"
"768.0","33.0","81"
"769.0","31.3","109"
"771.0","33.5","75"
"772.0","30.3","94"
"773.0","35.3","98"
"774.0","31.2","101"
"775.0","30.8","78"
"776.0","30.7","86"
"777.0","33.2","94"
"778.0","36.0","87"
"779.0","33.1","104"
"781.0","30.4","78"
"782.0","30.5","67"
"783.0","33.3","74"
"784.0","30.9","75"
"785.0","32.4","85"
"786.0","33.6","86"
"787.0","29.7","81"
"788.0","32.0","76"
"789.0","31.3","63"
"791.0","31.0","76"
"792.0","32.5","90"
"793.0","32.7","71"
"794.0","31.4","78"
"795.0","32.6","87"
"796.0","32.9","71"
"797.0","33.4","83"
"798.0","34.7","86"
"799.0","33.8","73"
"801.0","31.0","78"
"802.0","33.5","74"
"803.0","30.6","78"
"804.0","36.9","83"
"805.0","33.7","82"
"806.0","34.9","102"
"807.0","33.9","95"
"808.0","34.1","93"
"809.0","31.4","63"
"811.0","34.1","93"
"812.0","32.9","91"
"813.0","34.3","91"
"814.0","35.5","106"
"815.0","34.6","87"
"816.0","32.7","72"
"817.0","32.0","77"
"818.0","33.2","101"
"819.0","33.2","87"
"821.0","32.9","86"
"822.0","31.8","103"
"823.0","30.9","93"
"824.0","32.3","86"
"825.0","33.3","85"
"826.0","36.2","90"
"827.0","32.0","73"
"828.0","33.2","78"
"829.0","33.9","92"
"831.0","33.5","94"
"832.0","32.4","93"
"833.0","34.6","96"
"834.0","32.2","86"
"835.0","33.8","111"
"836.0","34.5","81"
"837.0","31.2","91"
"838.0","33.7","87"
"839.0","34.3","90"
"841.0","32.7","85"
"842.0","33.3","80"
"843.0","32.6","80"
"844.0","30.2","89"
"845.0","32.1","84"
"846.0","33.2","85"
"847.0","32.2","64"
"848.0","33.1","71"
"849.0","31.8","81"
"851.0","32.3","90"
"852.0","33.8","72"
"853.0","36.0","91"
"854.0","32.7","103"
"855.0","35.9","72"
"856.0","31.8","62"
"857.0","33.7","85"
"858.0","35.8","62"
"859.0","33.8","77"
"861.0","33.4","82"
"862.0","35.4","86"
"863.0","36.9","76"
"864.0","34.6","60"
"865.0","34.9","80"
